account_age,age,avg_hours,days_visited,friends_count,has_membership,is_US,songs_purchased,income,price,demand,treatment,revenue,ps_score,y_estimator
3,53,1.8342344712102672,2,8,1,1,4.90323668161881,0.9608626069235218,1.0,3.9171172356051334,1,3.9171172356051334,0.18241096899070283,4.026658992742087
5,54,7.17141145327076,7,9,0,1,3.3301611502022563,0.7324865629680953,1.0,11.585705726635377,1,11.585705726635377,0.16286431693978176,11.607593509460665
3,33,5.351919560462158,6,9,0,1,3.0362029952698237,1.1309367414298723,1.0,24.67595978023108,1,24.67595978023108,0.679410013049922,24.606077097118565
2,34,6.723551327429826,0,8,0,1,7.911926342540418,0.929196678649462,1.0,6.361775663714912,1,6.361775663714912,0.17999455932157998,6.4073397549849505
4,30,2.448246871359665,5,8,1,0,7.148967345863836,0.5335274951426048,0.8,12.624123435679829,0,10.099298748543864,0.19858625368692703,11.942579658833894
3,19,4.049904345020224,1,8,0,1,2.628700563668971,3.2748054358277017,1.0,19.024952172510115,1,19.024952172510115,0.6747425079496114,19.0312245896161
4,20,8.463999050225251,4,10,1,0,1.060753447936167,0.9010194120704326,0.8,10.631999525112626,0,8.5055996200901,0.18469905037782638,9.982171659153282
2,19,5.548038866210005,6,9,1,1,5.289344361051113,0.6469481139992777,0.8,14.174019433105002,0,11.339215546484002,0.18241156018700133,13.570892425273705
2,33,3.7533474779911464,2,8,0,1,2.4703656697815264,1.4944347452770834,1.0,18.876673738995574,1,18.876673738995574,0.6873425852737755,18.8790631775333
1,25,8.08735688897967,3,13,1,1,0.4837456060867371,0.4258840083373617,0.8,10.443678444489834,0,8.354942755591868,0.23198639999168674,9.885717795145768
2,30,5.690872847903955,2,10,1,1,7.182753615290239,0.8171563201486115,0.8,9.245436423951976,0,7.396349139161581,0.1754204704095735,8.572303234194651
2,22,0.09444353333622146,3,11,0,1,5.688907924164704,0.2829857359677279,0.8,6.447221766668108,0,5.157777413334487,0.13470499483431958,5.7338826849876705
